product_id,Тип,Льготный период,Кредитный лимит,Обслуживание в первый год,Обслуживание со второго года,Минимальный возраст для получения карты,Максимальный возраст для закрытия карты,Гражданство,Регистрация,Стаж работы на последнем месте,Условия снятия наличных: кредитные средства,Условия снятия наличных: собственные средства,Максимальный,За покупки у партнеров,Способ возврата,Максимальный возврат по кешбэку в месяц
4966ba76-928e-4ada-94e2-2048df61319b,Мир Classic,60 дней,до 1 000 000 ₽,бесплатно,990 ₽,18 лет,70 лет,требуется,постоянная в любом регионе присутствия банка,не менее 3 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '3,9%', 'Минимальная сумма комиссии': '390'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '3,9%', 'Минимальная сумма комиссии': '390'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '3,9%', 'Минимальная сумма комиссии': '390'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '3,9%', 'Минимальная сумма комиссии': '390'}]",: до 50 %,50 %,валюта карты,5 000
8b89c6f6-69fa-4142-835d-6b6b5077930e,Мир Классическая,4 месяца,до 5 000 000 ₽,,,20 лет,70 лет,требуется,постоянная,не менее 3 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}]",,: до 30 %,30 %,,
19f65d42-4a94-40e5-817a-4a66ff1a0230,Мир Классическая,до 3 лет,до 500 000 ₽,,,18 лет,75 лет,требуется,постоянная в любом регионе присутствия банка,не менее 4 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '399'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '399'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'до 150000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'от 150000', 'Комиссия': '1,9%', 'Минимальная сумма комиссии': '0'}]",: до 10 %,,баллы,5 000 баллов
b5b44bb8-95a7-4f7b-87a9-33fd7e082508,Мир Классическая,55 дней,до 600 000 ₽,,,18 лет,65 лет,требуется,постоянная,не менее 3 месяцев,,,: до 7 %,,баллы,5 000 баллов
5429d0db-a91b-4cff-8203-446fdae8d040,Мир Классическая,120 дней,до 2 000 000 ₽,,,21 год,69 лет,требуется,постоянная в любом регионе присутствия банка,не менее 3 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '5,5%', 'Минимальная сумма комиссии': '500'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '5,5%', 'Минимальная сумма комиссии': '500'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '1%', 'Минимальная сумма комиссии': '300'}]",: до 35 %,35 %,бонусы,2 000 бонусов
369e559a-643d-4a03-adf3-ce0ea910d8fc,Мир Classic,40 дней,от 9 900 ₽ до 600 000 ₽,,,18 лет,70 лет,не требуется,"временная в регионе обращения, постоянная в любом регионе присутствия банка",не менее 3 месяцев,,,": до 1,5 %",,баллы,5 000 баллов
68e25664-7e58-4b5f-9aac-1d673438e743,Мир Классическая,до 3 лет,до 500 000 ₽,,,18 лет,75 лет,требуется,постоянная в любом регионе присутствия банка,не менее 4 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '399'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'до 150000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'от 150000', 'Комиссия': '1,9%', 'Минимальная сумма комиссии': '0'}]",: до 10 %,,баллы,5 000 баллов
adc5770a-6fb0-48b6-aa85-dfb0ca206b7e,"UnionPay Classic/Instant Issue, Мир Классическая/Моментальная",115 дней,до 1 000 000 ₽,,,21 год,73 года,требуется,постоянная,не менее 4 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '4,9%', 'Минимальная сумма комиссии': '490'}]",,: до 15 %,,баллы,6 000 баллов
15696be4-872a-42ea-b5df-9b4fe2acaaf7,Мир Классическая,до 3 лет,до 500 000 ₽,,,18 лет,75 лет,требуется,постоянная в любом регионе присутствия банка,не менее 4 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '399'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '399'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'до 150000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'до 3000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '99'}]",: до 10 %,10 %,баллы,5 000 баллов
d0f5597b-99f1-4efb-a14a-e1b70c8c8a6b,Мир Классическая,55 дней,до 600 000 ₽,,,18 лет,70 лет,не требуется,"временная, постоянная",не менее 3 мес.,,,: до 10 %,,баллы,5 000 баллов
90ae3428-0e4e-4db5-b60c-c8ef32f9e1f4,,до 3 лет,до 500 000 ₽,,,18 лет,75 лет,требуется,постоянная в любом регионе присутствия банка,не менее 4 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '399'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '399'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'до 150000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'до 3000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '99'}]",: до 10 %,10 %,баллы,5 000 баллов
1765519a-2560-4e2b-9aa3-dbd6c6853321,Мир Supreme,120 дней,до 5 000 000 ₽,,,18 лет,70 лет,требуется,постоянная,не менее 3 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}]",: до 30 %,,,
e6c900a1-13d3-4475-bae2-be7d54522777,Мир Классическая,2 месяца,до 1 500 000 ₽,,,20 лет,70 лет,требуется,постоянная,не менее 3 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '3,99%', 'Минимальная сумма комиссии': '300'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '3,99%', 'Минимальная сумма комиссии': '300'}]",,: до 3 %,,бонусы,
1fa1574c-1c57-49ad-adc0-e4a3468a31c1,,3 года,до 500 000 ₽,,,18 лет,75 лет,требуется,постоянная в любом регионе присутствия банка,не менее 4 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '399'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '399'}]","[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'Любая', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}]",: до 10 %,,баллы,5 000 баллов
4a43e357-f125-4d43-bada-c1783a119cd9,Мир Supreme,до 60 дней,от 250 000 ₽ до 2 000 000 ₽,бесплатно,0 — 2 990 ₽,18 лет,70 лет,требуется,постоянная в любом регионе присутствия банка,не менее 3 месяцев,,,: до 50 %,50 %,валюта карты,15 000
ce4ad239-94e1-42f4-8341-f94c42f06e07,Мир Классическая,до 60 дней,до 1 000 000 ₽,0 — 590 ₽,990 ₽,18 лет,70 лет,требуется,постоянная в любом регионе присутствия банка,не менее 3 месяцев,,,: до 50 %,50 %,валюта карты,5 000
ca0c1953-e919-486d-8a29-c232217d3903,Мир Классическая,до 60 дней,от 10 000 ₽ до 300 000 ₽,0 — 590 ₽,1 490 ₽,18 лет,70 лет,требуется,постоянная в любом регионе присутствия банка,не менее 3 месяцев,,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'до 50000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '0'}]",,,,
3a1b985d-43b1-4bfd-b533-3beda4313b5c,Мир Platinum,от 121 дня,до 1 000 000 ₽,,,18 лет,70 лет,не требуется,постоянная,не менее 3 месяцев,,,: до 30 %,30 %,баллы,
56890dfe-9663-4d6a-bf12-45a72a86523f,Мир Классическая,55 дней,до 1 000 000 ₽,,,18 лет,70 лет,требуется,"временная, постоянная",не менее 3 месяцев,"[{'': 'В банкоматах банка', 'Валюта': 'Рубли', 'Сумма': 'до 100000', 'Комиссия': '0%', 'Минимальная сумма комиссии': '390'}, {'': 'В банкоматах других банков', 'Валюта': 'Рубли', 'Сумма': 'от 100000', 'Комиссия': '2%', 'Минимальная сумма комиссии': '390'}]",,: до 30 %,30 %,бонусы,6 000 бонусов
